track_id,title,composer,source,source_url,license,download_date,notes
# License audit trail (LICENSING.md checklist item 2). One row per catalog
# track. Fill in as real tracks are downloaded; keep original filenames.
# license values: CC-BY-4.0 | Pixabay | PD | dev-fixture
t001-t085,(all fixture tracks),Thomas Schürger (SoundHelix),SoundHelix,https://www.soundhelix.com,dev-fixture,2026-07-13,streamed test MP3s — replace before release
km-five-armies,Five Armies,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Five%20Armies.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-prelude-and-action,Prelude and Action,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Prelude%20and%20Action.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-volatile-reaction,Volatile Reaction,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Volatile%20Reaction.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-the-complex,The Complex,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/The%20Complex.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-deliberate-thought,Deliberate Thought,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Deliberate%20Thought.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-thinking-music,Thinking Music,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Thinking%20Music.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-bass-walker,Bass Walker,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Bass%20Walker.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-off-to-osaka,Off to Osaka,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Off%20to%20Osaka.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-thatched-villagers,Thatched Villagers,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Thatched%20Villagers.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-pippin-the-hunchback,Pippin the Hunchback,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Pippin%20the%20Hunchback.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-folk-round,Folk Round,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Folk%20Round.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-angevin,Angevin,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Angevin.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-curse-of-the-scarab,Curse of the Scarab,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Curse%20of%20the%20Scarab.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-the-descent,The Descent,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/The%20Descent.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-lord-of-the-land,Lord of the Land,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Lord%20of%20the%20Land.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
km-skye-cuillin,Skye Cuillin,Kevin MacLeod,incompetech,https://incompetech.com/music/royalty-free/mp3-royaltyfree/Skye%20Cuillin.mp3,CC-BY-4.0,2026-07-13,dev CDN copy; ads-safe with attribution
